naics,census,naics_description,sgf_code,sgf_description
61,educat,Educational services,G12,Education
61,educat,Educational services,F18,Education
61,educat,Educational services,Q12,Education
61,educat,Educational services,E12,Education
61,educat,Educational services,M21,Education
61,educat,Educational services,G21,Education
61,educat,Educational services,E18,Education
61,educat,Educational services,F12,Education
61,educat,Educational services,M12,Education
61,educat,Educational services,G16,Education
61,educat,Educational services,E21,Education
61,educat,Educational services,G18,Education
61,educat,Educational services,Q18,Education
61,educat,Educational services,F21,Education
61,educat,Educational services,F16,Education
61,educat,Educational services,J19,Education
61,educat,Educational services,E16,Education
61,educat,Educational services,M18,Education
313TT,pubwel,Textile mills and textile product mills,E75,Public welfare
315AL,pubwel,Apparel and leather and allied products,E75,Public welfare
321,pubwel,Wood products,E75,Public welfare
322,pubwel,Paper products,E75,Public welfare
323,pubwel,Printing and related support activities,E75,Public welfare
562,pubwel,Waste management and remediation services,E75,Public welfare
624,pubwel,Social assistance,E75,Public welfare
313TT,pubwel,Textile mills and textile product mills,E77,Public welfare
315AL,pubwel,Apparel and leather and allied products,E77,Public welfare
321,pubwel,Wood products,E77,Public welfare
322,pubwel,Paper products,E77,Public welfare
323,pubwel,Printing and related support activities,E77,Public welfare
562,pubwel,Waste management and remediation services,E77,Public welfare
624,pubwel,Social assistance,E77,Public welfare
313TT,pubwel,Textile mills and textile product mills,G79,Public welfare
315AL,pubwel,Apparel and leather and allied products,G79,Public welfare
321,pubwel,Wood products,G79,Public welfare
322,pubwel,Paper products,G79,Public welfare
323,pubwel,Printing and related support activities,G79,Public welfare
562,pubwel,Waste management and remediation services,G79,Public welfare
624,pubwel,Social assistance,G79,Public welfare
313TT,pubwel,Textile mills and textile product mills,M68,Public welfare
315AL,pubwel,Apparel and leather and allied products,M68,Public welfare
321,pubwel,Wood products,M68,Public welfare
322,pubwel,Paper products,M68,Public welfare
323,pubwel,Printing and related support activities,M68,Public welfare
562,pubwel,Waste management and remediation services,M68,Public welfare
624,pubwel,Social assistance,M68,Public welfare
313TT,pubwel,Textile mills and textile product mills,F79,Public welfare
315AL,pubwel,Apparel and leather and allied products,F79,Public welfare
321,pubwel,Wood products,F79,Public welfare
322,pubwel,Paper products,F79,Public welfare
323,pubwel,Printing and related support activities,F79,Public welfare
562,pubwel,Waste management and remediation services,F79,Public welfare
624,pubwel,Social assistance,F79,Public welfare
313TT,pubwel,Textile mills and textile product mills,F77,Public welfare
315AL,pubwel,Apparel and leather and allied products,F77,Public welfare
321,pubwel,Wood products,F77,Public welfare
322,pubwel,Paper products,F77,Public welfare
323,pubwel,Printing and related support activities,F77,Public welfare
562,pubwel,Waste management and remediation services,F77,Public welfare
624,pubwel,Social assistance,F77,Public welfare
313TT,pubwel,Textile mills and textile product mills,E74,Public welfare
315AL,pubwel,Apparel and leather and allied products,E74,Public welfare
321,pubwel,Wood products,E74,Public welfare
322,pubwel,Paper products,E74,Public welfare
323,pubwel,Printing and related support activities,E74,Public welfare
562,pubwel,Waste management and remediation services,E74,Public welfare
624,pubwel,Social assistance,E74,Public welfare
313TT,pubwel,Textile mills and textile product mills,G77,Public welfare
315AL,pubwel,Apparel and leather and allied products,G77,Public welfare
321,pubwel,Wood products,G77,Public welfare
322,pubwel,Paper products,G77,Public welfare
323,pubwel,Printing and related support activities,G77,Public welfare
562,pubwel,Waste management and remediation services,G77,Public welfare
624,pubwel,Social assistance,G77,Public welfare
313TT,pubwel,Textile mills and textile product mills,E79,Public welfare
315AL,pubwel,Apparel and leather and allied products,E79,Public welfare
321,pubwel,Wood products,E79,Public welfare
322,pubwel,Paper products,E79,Public welfare
323,pubwel,Printing and related support activities,E79,Public welfare
562,pubwel,Waste management and remediation services,E79,Public welfare
624,pubwel,Social assistance,E79,Public welfare
313TT,pubwel,Textile mills and textile product mills,M67,Public welfare
315AL,pubwel,Apparel and leather and allied products,M67,Public welfare
321,pubwel,Wood products,M67,Public welfare
322,pubwel,Paper products,M67,Public welfare
323,pubwel,Printing and related support activities,M67,Public welfare
562,pubwel,Waste management and remediation services,M67,Public welfare
624,pubwel,Social assistance,M67,Public welfare
313TT,pubwel,Textile mills and textile product mills,M79,Public welfare
315AL,pubwel,Apparel and leather and allied products,M79,Public welfare
321,pubwel,Wood products,M79,Public welfare
322,pubwel,Paper products,M79,Public welfare
323,pubwel,Printing and related support activities,M79,Public welfare
562,pubwel,Waste management and remediation services,M79,Public welfare
624,pubwel,Social assistance,M79,Public welfare
313TT,pubwel,Textile mills and textile product mills,S67,Public welfare
315AL,pubwel,Apparel and leather and allied products,S67,Public welfare
321,pubwel,Wood products,S67,Public welfare
322,pubwel,Paper products,S67,Public welfare
323,pubwel,Printing and related support activities,S67,Public welfare
562,pubwel,Waste management and remediation services,S67,Public welfare
624,pubwel,Social assistance,S67,Public welfare
313TT,pubwel,Textile mills and textile product mills,J68,Public welfare
315AL,pubwel,Apparel and leather and allied products,J68,Public welfare
321,pubwel,Wood products,J68,Public welfare
322,pubwel,Paper products,J68,Public welfare
323,pubwel,Printing and related support activities,J68,Public welfare
562,pubwel,Waste management and remediation services,J68,Public welfare
624,pubwel,Social assistance,J68,Public welfare
313TT,pubwel,Textile mills and textile product mills,J67,Public welfare
315AL,pubwel,Apparel and leather and allied products,J67,Public welfare
321,pubwel,Wood products,J67,Public welfare
322,pubwel,Paper products,J67,Public welfare
323,pubwel,Printing and related support activities,J67,Public welfare
562,pubwel,Waste management and remediation services,J67,Public welfare
624,pubwel,Social assistance,J67,Public welfare
622,hosptl,Hospitals,F36,Hospitals
622,hosptl,Hospitals,M36,Hospitals
622,hosptl,Hospitals,G36,Hospitals
622,hosptl,Hospitals,E36,Hospitals
621,health,Ambulatory health care services,F32,Health
623,health,Nursing and residential care facilities,F32,Health
621,health,Ambulatory health care services,M32,Health
623,health,Nursing and residential care facilities,M32,Health
621,health,Ambulatory health care services,E32,Health
623,health,Nursing and residential care facilities,E32,Health
621,health,Ambulatory health care services,G32,Health
623,health,Nursing and residential care facilities,G32,Health
23,hghway,Construction,G45,Highways
481,hghway,Air transportation,G45,Highways
482,hghway,Rail transportation,G45,Highways
483,hghway,Water transportation,G45,Highways
484,hghway,Truck transportation,G45,Highways
485,hghway,Transit and ground passenger transportation,G45,Highways
486,hghway,Pipeline transportation,G45,Highways
487OS,hghway,Other transportation and support activities,G45,Highways
23,hghway,Construction,G44,Highways
481,hghway,Air transportation,G44,Highways
482,hghway,Rail transportation,G44,Highways
483,hghway,Water transportation,G44,Highways
484,hghway,Truck transportation,G44,Highways
485,hghway,Transit and ground passenger transportation,G44,Highways
486,hghway,Pipeline transportation,G44,Highways
487OS,hghway,Other transportation and support activities,G44,Highways
23,hghway,Construction,M44,Highways
481,hghway,Air transportation,M44,Highways
482,hghway,Rail transportation,M44,Highways
483,hghway,Water transportation,M44,Highways
484,hghway,Truck transportation,M44,Highways
485,hghway,Transit and ground passenger transportation,M44,Highways
486,hghway,Pipeline transportation,M44,Highways
487OS,hghway,Other transportation and support activities,M44,Highways
23,hghway,Construction,F44,Highways
481,hghway,Air transportation,F44,Highways
482,hghway,Rail transportation,F44,Highways
483,hghway,Water transportation,F44,Highways
484,hghway,Truck transportation,F44,Highways
485,hghway,Transit and ground passenger transportation,F44,Highways
486,hghway,Pipeline transportation,F44,Highways
487OS,hghway,Other transportation and support activities,F44,Highways
23,hghway,Construction,F45,Highways
481,hghway,Air transportation,F45,Highways
482,hghway,Rail transportation,F45,Highways
483,hghway,Water transportation,F45,Highways
484,hghway,Truck transportation,F45,Highways
485,hghway,Transit and ground passenger transportation,F45,Highways
486,hghway,Pipeline transportation,F45,Highways
487OS,hghway,Other transportation and support activities,F45,Highways
23,hghway,Construction,E44,Highways
481,hghway,Air transportation,E44,Highways
482,hghway,Rail transportation,E44,Highways
483,hghway,Water transportation,E44,Highways
484,hghway,Truck transportation,E44,Highways
485,hghway,Transit and ground passenger transportation,E44,Highways
486,hghway,Pipeline transportation,E44,Highways
487OS,hghway,Other transportation and support activities,E44,Highways
23,hghway,Construction,E45,Highways
481,hghway,Air transportation,E45,Highways
482,hghway,Rail transportation,E45,Highways
483,hghway,Water transportation,E45,Highways
484,hghway,Truck transportation,E45,Highways
485,hghway,Transit and ground passenger transportation,E45,Highways
486,hghway,Pipeline transportation,E45,Highways
487OS,hghway,Other transportation and support activities,E45,Highways
GFGD,police,Federal general government (defense),G62,Police protection
GFGN,police,Federal general government (nondefense),G62,Police protection
GFE,police,Federal government enterprises,G62,Police protection
GSLG,police,State and local general government,G62,Police protection
GSLE,police,State and local government enterprises,G62,Police protection
GFGD,police,Federal general government (defense),E62,Police protection
GFGN,police,Federal general government (nondefense),E62,Police protection
GFE,police,Federal government enterprises,E62,Police protection
GSLG,police,State and local general government,E62,Police protection
GSLE,police,State and local government enterprises,E62,Police protection
GFGD,police,Federal general government (defense),M62,Police protection
GFGN,police,Federal general government (nondefense),M62,Police protection
GFE,police,Federal government enterprises,M62,Police protection
GSLG,police,State and local general government,M62,Police protection
GSLE,police,State and local government enterprises,M62,Police protection
GFGD,police,Federal general government (defense),F62,Police protection
GFGN,police,Federal general government (nondefense),F62,Police protection
GFE,police,Federal government enterprises,F62,Police protection
GSLG,police,State and local general government,F62,Police protection
GSLE,police,State and local government enterprises,F62,Police protection
GFGD,correc,Federal general government (defense),G04,Correction
GFGN,correc,Federal general government (nondefense),G04,Correction
GFE,correc,Federal government enterprises,G04,Correction
GSLG,correc,State and local general government,G04,Correction
GSLE,correc,State and local government enterprises,G04,Correction
GFGD,correc,Federal general government (defense),G05,Correction
GFGN,correc,Federal general government (nondefense),G05,Correction
GFE,correc,Federal government enterprises,G05,Correction
GSLG,correc,State and local general government,G05,Correction
GSLE,correc,State and local government enterprises,G05,Correction
GFGD,correc,Federal general government (defense),M04,Correction
GFGN,correc,Federal general government (nondefense),M04,Correction
GFE,correc,Federal government enterprises,M04,Correction
GSLG,correc,State and local general government,M04,Correction
GSLE,correc,State and local government enterprises,M04,Correction
GFGD,correc,Federal general government (defense),E05,Correction
GFGN,correc,Federal general government (nondefense),E05,Correction
GFE,correc,Federal government enterprises,E05,Correction
GSLG,correc,State and local general government,E05,Correction
GSLE,correc,State and local government enterprises,E05,Correction
GFGD,correc,Federal general government (defense),E04,Correction
GFGN,correc,Federal general government (nondefense),E04,Correction
GFE,correc,Federal government enterprises,E04,Correction
GSLG,correc,State and local general government,E04,Correction
GSLE,correc,State and local government enterprises,E04,Correction
GFGD,correc,Federal general government (defense),F04,Correction
GFGN,correc,Federal general government (nondefense),F04,Correction
GFE,correc,Federal government enterprises,F04,Correction
GSLG,correc,State and local general government,F04,Correction
GSLE,correc,State and local government enterprises,F04,Correction
GFGD,correc,Federal general government (defense),F05,Correction
GFGN,correc,Federal general government (nondefense),F05,Correction
GFE,correc,Federal government enterprises,F05,Correction
GSLG,correc,State and local general government,F05,Correction
GSLE,correc,State and local government enterprises,F05,Correction
GFGD,correc,Federal general government (defense),M05,Correction
GFGN,correc,Federal general government (nondefense),M05,Correction
GFE,correc,Federal government enterprises,M05,Correction
GSLG,correc,State and local general government,M05,Correction
GSLE,correc,State and local government enterprises,M05,Correction
111CA,natres,Farms,E59,Natural resources
211,natres,Oil and gas extraction,E59,Natural resources
212,natres,Coal mining,E59,Natural resources
213,natres,Support activities for mining,E59,Natural resources
111CA,natres,Farms,F59,Natural resources
211,natres,Oil and gas extraction,F59,Natural resources
212,natres,Coal mining,F59,Natural resources
213,natres,Support activities for mining,F59,Natural resources
111CA,natres,Farms,F54,Natural resources
211,natres,Oil and gas extraction,F54,Natural resources
212,natres,Coal mining,F54,Natural resources
213,natres,Support activities for mining,F54,Natural resources
111CA,natres,Farms,G54,Natural resources
211,natres,Oil and gas extraction,G54,Natural resources
212,natres,Coal mining,G54,Natural resources
213,natres,Support activities for mining,G54,Natural resources
111CA,natres,Farms,M55,Natural resources
211,natres,Oil and gas extraction,M55,Natural resources
212,natres,Coal mining,M55,Natural resources
213,natres,Support activities for mining,M55,Natural resources
111CA,natres,Farms,E55,Natural resources
